_id,state.environment,state.map,state.turbine,state.binary,results.profit,changedSimSpeed,correctPower,results.correct,results.medianTimeOnTask,results.over,results.under,results.score,repairedTurbine,turbineOnOff,results.name,userId
ObjectId(5a9670c9907a2e77c94abaaf),mountains,5,G,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.41747572815534,0.973684210526316,0.75",true,false,true,13.28874522489969,0,29.644116744855385,57.06713803024493,,true,true,ΚΕΡΤΖΩ,a947823468d908f772f92b047eca35077f1ce7fa
ObjectId(5a9670c9907a2e77c94abab0),seashore,1,E,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.223300970873786,0.5,0.25",true,false,true,6.049821152986969,0,10.676155542951644,83.2740233040614,7,true,true,ΜΙΧΣΚΥ,1235e863919592e18844390a7fc7d5aa492915b1
ObjectId(5a9670c9907a2e77c94abab1),,,,",,",,false,true,,,,,,true,true,,b1f5b715fc89e96a6851c693184b6694a1c15d89
ObjectId(5a9670c9907a2e77c94abab2),seashore,1,I,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.105263157894737,0",true,false,true,18.72247006358041,0,14.977976050864326,66.29955388555526,4,true,true,ΣΤΑΑΡΗ,b0090e70d749f34d4434ca5eaf908cf6c5f51ec1
ObjectId(5a9670c9907a2e77c94abab3),,1,,",0,0,0,0,0,0,0,0,0,1,",,true,false,0,0,19.9335519933552,80.0664480066448,6,true,true,ΑΓΓΡΟΥ,667b2692b466f0caa4eecc121debbfa54e335137
ObjectId(5a9670c9907a2e77c94abab4),seashore,3,I,"0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.105263157894737,0",,false,false,,,,,,true,true,,720243688e9b287efe2ed48e9cc4b8d0a150bdbc
ObjectId(5a9670c9907a2e77c94abab5),mountains,,,"0,0,1,0,0,,",,false,false,,,,,,false,false,,2ccd59c240e0d50e647c960d5255608f2841f197
ObjectId(5a9670c9907a2e77c94abab6),seashore,1,G,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.973684210526316,0.75",true,false,false,10.299,0,5.6478399999999995,84.05316,7,true,true,ΚΛΟΝΙΚ,7b700b498acda2ab6550a2ac12e90769835fd122
ObjectId(5a9670c9907a2e77c94abab7),mountains,,H,"0,0,1,0,0,,0,0,0.223300970873786,0.5,0.25",true,true,false,7.407407407407407,0,17.38827777777778,75.20431481481481,4,true,true,ΑΜΟΜΙΧ,ff83fc485969964501b104209ee086576c57dc36
ObjectId(5a9670c9907a2e77c94abab8),mountains,1,A,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",false,false,false,0,0,0,100,9,false,false,ΑΜΟΜΙΧ,8e7af4d3c50d57ccfaf475cb07f4f40c2ecfc80a
ObjectId(5a9670c9907a2e77c94abab9),mountains,1,C,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00970873786407768,0,0",,false,false,0,0,0,100,4,false,false,ΚΑΤΔΗΜ,60c02ff8b7e0ca01489baed30f262cc3302ebd44
ObjectId(5a9670c9907a2e77c94ababa),,6,H,",0,0,0,0,1,1,0,0,0,0,0,0,0.223300970873786,0.5,0.25",,false,false,,,,,,false,false,,2926c75550bfca89912e7fbe75a5c8500e0d1361
ObjectId(5a9670c9907a2e77c94ababb),mountains,,,"0,0,1,0,0,,",,false,false,,,,,,false,false,,c5c5aedd7f25034f1a03b164751d1ad33a26606f
ObjectId(5a9670c9907a2e77c94ababc),mountains,1,H,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.223300970873786,0.5,0.25",true,false,false,0,0,17.316020926144375,82.68397907385562,,true,true,ΑΜΟΜΙΧ,809067550ffb1fdf2812aa33041a6a5a8ab92672
ObjectId(5a9670c9907a2e77c94ababd),fields,,D,"0,0,0,0,1,,0,0,0.41747572815534,0.5,0.5",,false,false,,,,,,false,false,,33802fecb8bd9f7a3b7d2c2d1e38ae9f1277145e
ObjectId(5a9670c9907a2e77c94ababe),mountains,5,C,"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00970873786407768,0,0",,false,false,,,,,,true,true,,7c9ba2b448a36e8cecdb37f8e8505d169407ea06
ObjectId(5a9670c9907a2e77c94ababf),,5,C,",0,0,0,0,0,1,0,0,0,0,0,0,0.00970873786407768,0,0",true,true,true,8,0,2,90,,true,true,ΑΜΟΜΙΧ,2521c9b0217471f766cc5a8c68ade4d93fc56960
ObjectId(5a9670c9907a2e77c94abac0),mountains,8,A,"0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1",,true,false,,,,,,true,true,,dec47f5712be917bd475b1bb9894c8e92efda1c9
ObjectId(5a9670c9907a2e77c94abac1),mountains,1,A,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1",,false,false,,,,,,false,false,,08a4df8e772ea30fbe1c01b58b147187866746f9
ObjectId(5a9670c9907a2e77c94abac2),,,,",,",false,false,false,0,0,0,100,9,false,false,ΜΙΤΝΙΚ,20da05ff5a0fc11e641e7f17fbb796296119bf55
ObjectId(5a9670c9907a2e77c94abac3),mountains,1,B,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.5,0.5",false,false,false,0,0,0,100,,false,false,ΑΜΟΜΙΧ,635047938669436f027e20a382ece29e14b56423
ObjectId(5a9670c9907a2e77c94abac4),seashore,1,B,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41747572815534,0.5,0.5",false,false,false,0,0,0,100,8,false,false,ΜΙΤΝΙΚ,6235f07972e6df1fb8999ce101ac1da888951563
ObjectId(5a9670c9907a2e77c94abac5),mountains,,,"0,0,1,0,0,,",,false,false,,,,,,false,false,,bd26d06fba612f557854fcaa0f607580a4a9abc4
ObjectId(5a9670c9907a2e77c94abac6),,,,,,false,,,,,,,false,false,,5743e7046804446f9bded21e9e45cbd4b6b5b5b0
ObjectId(5a9670c9907a2e77c94abac7),,,,,,false,,,,,,,false,false,,d9c2c99d4b455d9125fd619849a954bca95d9615
ObjectId(5a9670c9907a2e77c94abac8),mountains,,,"0,0,1,0,0,,",,false,false,,,,,,true,true,,7f704208e02198d686730a36a26ddce9a78d1a1d
